Time, Position, Velocity, Iq, Uq, Vsupply
0.012, 0.00126, 0.0, 0.00098, -0.00146, 0.49664
0.013, 0.00094, 0.0, -0.00098, -0.00293, 0.4967
0.031, 0.00188, 0.0, 0.01367, 0.00635, 0.49811
0.032, 0.00157, 0.0, 0.01465, 0.00293, 0.49817
0.095, 0.0022, 0.0, 0.03125, 0.01709, 0.50079
0.096, 0.0022, 0.0, 0.0293, 0.02148, 0.50079
0.097, 0.0022, 0.0, 0.04004, 0.02881, 0.50079
0.098, 0.0022, 0.0, 0.05176, 0.03223, 0.50079
0.112, 0.00408, 0.0, 0.06055, 0.02588, 0.5011
0.113, 0.00377, 0.0, 0.05859, 0.02832, 0.50116
0.114, 0.00377, 0.0, 0.05859, 0.02832, 0.50116
0.151, 0.00534, 0.0, 0.07617, 0.03711, 0.50153
0.171, 0.00597, 0.0, 0.08301, 0.03516, 0.50177
0.2, 0.00565, 0.0, 0.09668, 0.0459, 0.50183
0.211, 0.00628, 0.0, 0.09961, 0.04785, 0.50183
0.212, 0.00628, 0.0, 0.09668, 0.05127, 0.50171
0.213, 0.00628, 0.0, 0.09668, 0.05127, 0.50171
0.214, 0.00628, 0.0, 0.10254, 0.06201, 0.50183
0.215, 0.00628, 0.0, 0.12891, 0.06641, 0.50177
0.216, 0.00628, 0.0, 0.12891, 0.06641, 0.50177
0.217, 0.00628, 0.0, 0.13867, 0.0708, 0.50183
0.218, 0.0066, 0.0, 0.15625, 0.08887, 0.50177
0.264, 0.01037, 0.0, 0.14746, 0.07275, 0.50165
0.265, 0.01068, 0.0, 0.14355, 0.08154, 0.50165
0.277, 0.01162, 0.0, 0.15625, 0.08252, 0.50146
0.278, 0.01162, 0.0, 0.15137, 0.0835, 0.5014
0.279, 0.01162, 0.0, 0.16895, 0.08447, 0.50146
0.28, 0.01162, 0.0, 0.17969, 0.08301, 0.5014
0.281, 0.01162, 0.0, 0.17969, 0.10547, 0.50134
0.282, 0.01162, 0.0, 0.19824, 0.10107, 0.5014
0.283, 0.01162, 0.0, 0.20605, 0.1084, 0.5014
0.284, 0.01162, 0.0, 0.21973, 0.11182, 0.5014
0.285, 0.01194, 0.0, 0.22754, 0.11719, 0.5014
0.324, 0.01791, 0.0, 0.20117, 0.08838, 0.50146
0.325, 0.01791, 0.0, 0.2002, 0.08838, 0.50146
0.355, 0.01822, 0.0, 0.20801, 0.11768, 0.50134
0.356, 0.01822, 0.0, 0.21777, 0.10596, 0.50134
0.357, 0.01822, 0.0, 0.23438, 0.09717, 0.50134
0.358, 0.01854, 0.0, 0.23535, 0.11621, 0.50134
0.379, 0.02199, 0.0, 0.22363, 0.11084, 0.50128
0.38, 0.02199, 0.0, 0.22363, 0.10889, 0.50122
0.381, 0.02199, 0.0, 0.22949, 0.12256, 0.50122
0.382, 0.02199, 0.0, 0.24512, 0.12646, 0.50122
0.383, 0.02199, 0.0, 0.25586, 0.12646, 0.50122
0.384, 0.02199, 0.0, 0.2666, 0.13379, 0.50122
0.385, 0.02199, 0.0, 0.27148, 0.14551, 0.50116
0.386, 0.02199, 0.0, 0.27148, 0.14551, 0.50116
0.524, 0.07603, 0.0, -0.12305, -0.05518, 0.5014
0.525, 0.07571, 0.0, -0.125, -0.05859, 0.50146
0.581, 0.07634, 0.0, -0.11035, -0.04541, 0.5014
0.582, 0.07634, 0.0, -0.1084, -0.04492, 0.5014
0.583, 0.07603, 0.0, -0.09668, -0.04346, 0.50134
0.61, 0.07665, 0.0, -0.08105, -0.0166, 0.50146
0.622, 0.07728, 0.0, -0.07715, -0.02002, 0.50146
0.64, 0.07791, 0.0, -0.06836, -0.02197, 0.5014
0.641, 0.0776, 0.0, -0.06641, -0.02441, 0.5014
0.648, 0.07791, 0.0, -0.0459, -0.00146, 0.5014
0.649, 0.07791, 0.0, -0.0459, -0.00146, 0.5014
0.671, 0.07885, 0.0, -0.03613, -0.00391, 0.50128
0.683, 0.0798, 0.0, -0.03809, 0.00293, 0.50122
0.691, 0.07948, 0.0, -0.02344, 0.01221, 0.50122
0.692, 0.0798, 0.0, -0.02246, 0.0083, 0.50122
0.707, 0.08074, 0.0, -0.01074, 0.00977, 0.50134
0.708, 0.08074, 0.0, -0.01465, 0.01514, 0.50128
0.709, 0.08074, 0.0, -0.00293, 0.021, 0.50128
0.71, 0.08074, 0.0, 0.00586, 0.02588, 0.50134
0.711, 0.08074, 0.0, 0.0166, 0.03027, 0.50134
0.712, 0.08074, 0.0, 0.02441, 0.04102, 0.50134
0.713, 0.08105, 0.0, 0.03809, 0.0415, 0.5014
0.849, 0.08451, 0.0, 0.02637, 0.03857, 0.50134
0.859, 0.08514, 0.0, 0.03223, 0.03662, 0.50122
0.86, 0.08514, 0.0, 0.03516, 0.02979, 0.50122
0.861, 0.08514, 0.0, 0.04883, 0.02539, 0.50122
0.862, 0.08514, 0.0, 0.0498, 0.05176, 0.50122
0.863, 0.08514, 0.0, 0.05859, 0.05859, 0.50122
0.864, 0.08514, 0.0, 0.06738, 0.06006, 0.50122
0.865, 0.08514, 0.0, 0.07812, 0.06641, 0.50122
0.866, 0.08514, 0.0, 0.09082, 0.0708, 0.50116
0.928, 0.08891, 0.0, 0.08008, 0.06396, 0.5014
0.929, 0.08891, 0.0, 0.08301, 0.06201, 0.50134
0.93, 0.08922, 0.0, 0.09277, 0.06592, 0.50134
0.952, 0.08985, 0.0, 0.10742, 0.06836, 0.50122
0.953, 0.08985, 0.0, 0.10156, 0.07275, 0.50128
0.968, 0.09111, 0.0, 0.11035, 0.08252, 0.50122
0.969, 0.09111, 0.0, 0.10742, 0.08301, 0.50128
0.97, 0.09111, 0.0, 0.12305, 0.08105, 0.50122
0.971, 0.09111, 0.0, 0.13867, 0.07617, 0.50128
0.972, 0.09111, 0.0, 0.15137, 0.08154, 0.50122
0.973, 0.09111, 0.0, 0.15527, 0.0957, 0.50116
0.974, 0.09111, 0.0, 0.16406, 0.10059, 0.50128
0.975, 0.09142, 0.0, 0.17676, 0.10156, 0.50128
1.039, 0.09582, 0.0, 0.16406, 0.08984, 0.50098
1.06, 0.09582, 0.0, 0.16895, 0.09961, 0.50092
1.071, 0.09645, 0.0, 0.16895, 0.10498, 0.50085
1.072, 0.09645, 0.0, 0.17285, 0.10059, 0.50092
1.073, 0.09645, 0.0, 0.18457, 0.09961, 0.50085
1.074, 0.09645, 0.0, 0.19336, 0.10791, 0.50085
1.075, 0.09645, 0.0, 0.20215, 0.11523, 0.50092
1.076, 0.09645, 0.0, 0.20898, 0.125, 0.50092
1.077, 0.09645, 0.0, 0.22363, 0.13086, 0.50092
1.078, 0.09676, 0.0, 0.2334, 0.13477, 0.50085
1.124, 0.10116, 0.0, 0.21582, 0.12891, 0.50085
1.125, 0.10116, 0.0, 0.21875, 0.12158, 0.50092
1.126, 0.10116, 0.0, 0.22363, 0.13623, 0.50085
1.151, 0.10273, 0.0, 0.23438, 0.13281, 0.50085
1.152, 0.10273, 0.0, 0.23438, 0.13379, 0.50092
1.153, 0.10273, 0.0, 0.24316, 0.14111, 0.50085
1.154, 0.10273, 0.0, 0.25195, 0.14697, 0.50092
1.155, 0.10273, 0.0, 0.26172, 0.15576, 0.50085
1.174, 0.10681, 0.0, 0.25195, 0.14111, 0.50092
1.175, 0.10681, 0.0, 0.25098, 0.14404, 0.50092
1.176, 0.10681, 0.0, 0.26074, 0.14795, 0.50092
1.177, 0.10681, 0.0, 0.26953, 0.15869, 0.50085
1.178, 0.10681, 0.0, 0.27832, 0.16357, 0.50085
1.179, 0.10681, 0.0, 0.29102, 0.1626, 0.50085
1.18, 0.10681, 0.0, 0.30078, 0.17236, 0.50085
1.181, 0.10681, 0.0, 0.31543, 0.1748, 0.50085
1.182, 0.10713, 0.0, 0.31836, 0.19238, 0.50085
1.337, 0.15865, 0.0, -0.07324, -0.00977, 0.50098
1.338, 0.15865, 0.0, -0.07031, -0.01465, 0.50098
1.35, 0.15959, 0.0, -0.05762, -0.01172, 0.50098
1.351, 0.15928, 0.0, -0.06152, -0.00439, 0.50104
1.378, 0.15991, 0.0, -0.03711, -0.00342, 0.50092
1.379, 0.15991, 0.0, -0.0459, 0.01123, 0.50092
1.38, 0.16022, 0.0, -0.03418, 0.01465, 0.50098
1.392, 0.16116, 0.0, -0.02148, 0.0127, 0.50092
1.393, 0.16116, 0.0, -0.02051, 0.00537, 0.50092
1.394, 0.16116, 0.0, -0.00488, 0.00781, 0.50104
1.395, 0.16116, 0.0, 0.00195, 0.01758, 0.50092
1.396, 0.16116, 0.0, 0.00879, 0.02832, 0.50098
1.397, 0.16116, 0.0, 0.01758, 0.03369, 0.50098
1.398, 0.16148, 0.0, 0.01855, 0.04688, 0.50098
1.443, 0.16493, 0.0, 0.01074, 0.04785, 0.50098
1.464, 0.16556, 0.0, 0.02051, 0.04199, 0.50098
1.475, 0.16588, 0.0, 0.02734, 0.03564, 0.50092
1.476, 0.16588, 0.0, 0.03027, 0.03662, 0.50085
1.477, 0.16588, 0.0, 0.03906, 0.04688, 0.50085
1.478, 0.16588, 0.0, 0.04395, 0.05371, 0.50092
1.479, 0.16588, 0.0, 0.05859, 0.0542, 0.50092
1.48, 0.16588, 0.0, 0.0752, 0.04834, 0.50085
1.481, 0.16588, 0.0, 0.0752, 0.04834, 0.50085
1.516, 0.17059, 0.0, 0.06348, 0.04395, 0.50085
1.535, 0.17059, 0.0, 0.06934, 0.05566, 0.50092
1.536, 0.17027, 0.0, 0.0625, 0.06055, 0.50092
1.563, 0.1709, 0.0, 0.08691, 0.06836, 0.50085
1.564, 0.17122, 0.0, 0.09473, 0.05811, 0.50085
