Time, Position, Velocity, Iq, Uq, Vsupply
0.006, 0.00157, 0.0, -0.00391, -0.00098, 0.50891
0.007, 0.00157, 0.0, -0.00098, -0.00195, 0.50891
0.008, 0.00126, 0.0, 0.00684, -0.00488, 0.50891
0.012, 0.00094, 0.0, 0.02832, 0.0127, 0.50891
0.013, 0.00126, 0.0, 0.02344, 0.021, 0.50891
0.021, 0.00314, 0.0, 0.02441, 0.01758, 0.50885
0.022, 0.00314, 0.0, 0.02637, 0.01367, 0.50879
0.023, 0.00283, 0.0, 0.03125, 0.0166, 0.50885
0.027, 0.00251, 0.0, 0.05664, 0.02441, 0.50879
0.028, 0.00251, 0.0, 0.05371, 0.02783, 0.50879
0.037, 0.00471, 0.0, 0.05371, 0.01953, 0.50867
0.038, 0.0044, 0.0, 0.05371, 0.0249, 0.50873
0.043, 0.00377, 0.0, 0.07715, 0.04883, 0.50867
0.051, 0.00565, 0.0, 0.07422, 0.02441, 0.50867
0.052, 0.00565, 0.0, 0.07617, 0.02441, 0.50867
0.053, 0.00534, 0.0, 0.08789, 0.0249, 0.50873
0.057, 0.00503, 0.0, 0.10352, 0.0459, 0.50861
0.058, 0.00503, 0.0, 0.10254, 0.04541, 0.50861
0.068, 0.00754, 0.0, 0.09863, 0.0415, 0.50861
0.074, 0.0066, 0.0, 0.11328, 0.0498, 0.50861
0.075, 0.0066, 0.0, 0.1084, 0.06348, 0.50854
0.084, 0.0088, 0.0, 0.11523, 0.05176, 0.50861
0.085, 0.00848, 0.0, 0.11426, 0.04834, 0.50861
0.089, 0.00817, 0.0, 0.13184, 0.07275, 0.50854
0.09, 0.00817, 0.0, 0.12988, 0.07764, 0.50854
0.091, 0.00817, 0.0, 0.14062, 0.07422, 0.50854
0.102, 0.01131, 0.0, 0.13086, 0.06689, 0.50848
0.109, 0.01005, 0.0, 0.1543, 0.07812, 0.50854
0.118, 0.01194, 0.0, 0.14844, 0.06396, 0.50842
0.131, 0.01225, 0.0, 0.15039, 0.07617, 0.5083
0.132, 0.01225, 0.0, 0.14844, 0.07422, 0.50836
0.133, 0.01225, 0.0, 0.15625, 0.08057, 0.5083
0.134, 0.01225, 0.0, 0.16895, 0.08301, 0.50836
0.137, 0.01194, 0.0, 0.19043, 0.09131, 0.5083
0.15, 0.01539, 0.0, 0.16895, 0.08154, 0.5083
0.157, 0.01445, 0.0, 0.18359, 0.10498, 0.5083
0.165, 0.01634, 0.0, 0.18164, 0.08594, 0.5083
0.166, 0.01634, 0.0, 0.1875, 0.08154, 0.50824
0.167, 0.01602, 0.0, 0.19043, 0.09131, 0.50824
0.171, 0.01571, 0.0, 0.20703, 0.11377, 0.50824
0.172, 0.01602, 0.0, 0.21289, 0.10205, 0.5083
0.186, 0.02073, 0.0, 0.19727, 0.08643, 0.50824
0.187, 0.02042, 0.0, 0.19238, 0.09277, 0.50818
0.193, 0.01979, 0.0, 0.21387, 0.11035, 0.50824
0.1946, 0.02011, 0.0, 0.21582, 0.11035, 0.50812
0.21, 0.0245, 0.0, 0.20801, 0.09717, 0.50812
0.211, 0.0245, 0.0, 0.20117, 0.10449, 0.50806
0.212, 0.0245, 0.0, 0.20703, 0.10742, 0.50806
0.213, 0.0245, 0.0, 0.21875, 0.10547, 0.50812
0.214, 0.0245, 0.0, 0.22949, 0.10645, 0.50812
0.215, 0.0245, 0.0, 0.22949, 0.12061, 0.50812
0.216, 0.02482, 0.0, 0.24414, 0.11963, 0.50818
0.375, 0.05781, 0.0, 0.08398, 0.11133, 0.50824
0.503, 0.09331, 0.0, -0.16797, -0.13965, 0.50836
0.611, 0.08545, 0.0, -0.10645, -0.07471, 0.50836
0.661, 0.08325, 0.0, -0.08398, -0.04395, 0.50842
0.685, 0.07854, 0.0, -0.03809, 0.02246, 0.50842
0.693, 0.08294, 0.0, -0.06641, -0.03174, 0.50836
0.724, 0.08294, 0.0, -0.05664, -0.02783, 0.50842
0.739, 0.08325, 0.0, -0.0498, -0.01465, 0.50842
0.754, 0.08294, 0.0, -0.04004, -0.00928, 0.50836
0.769, 0.08294, 0.0, -0.02832, -0.00732, 0.50836
0.776, 0.08137, 0.0, -0.01172, 0.02734, 0.50836
0.806, 0.082, 0.0, -0.00586, 0.02197, 0.5083
0.828, 0.08325, 0.0, -0.00781, 0.00391, 0.5083
0.834, 0.08231, 0.0, 0.00195, 0.03223, 0.50836
0.835, 0.08262, 0.0, 0.00098, 0.03369, 0.5083
0.842, 0.08388, 0.0, 0.00684, 0.01709, 0.5083
0.843, 0.08388, 0.0, 0.01172, 0.01172, 0.5083
0.847, 0.08325, 0.0, 0.02539, 0.0376, 0.5083
0.848, 0.08325, 0.0, 0.0293, 0.03564, 0.5083
0.849, 0.08325, 0.0, 0.02441, 0.05664, 0.5083
0.858, 0.08545, 0.0, 0.03516, 0.0332, 0.5083
0.859, 0.08514, 0.0, 0.03223, 0.03662, 0.5083
0.864, 0.08451, 0.0, 0.05957, 0.04785, 0.50824
0.878, 0.08545, 0.0, 0.06152, 0.04834, 0.50824
0.879, 0.08545, 0.0, 0.05859, 0.05225, 0.5083
0.88, 0.08545, 0.0, 0.06641, 0.05273, 0.50818
0.888, 0.08765, 0.0, 0.0625, 0.05371, 0.50818
0.889, 0.08765, 0.0, 0.06934, 0.0459, 0.50824
0.902, 0.08828, 0.0, 0.07617, 0.0542, 0.50818
0.903, 0.08828, 0.0, 0.0791, 0.05322, 0.50824
0.908, 0.08765, 0.0, 0.10059, 0.06641, 0.50824
0.909, 0.08765, 0.0, 0.09863, 0.06738, 0.50818
0.919, 0.08954, 0.0, 0.10352, 0.05469, 0.50824
0.925, 0.08891, 0.0, 0.11523, 0.07031, 0.50824
0.926, 0.08922, 0.0, 0.11914, 0.06445, 0.50824
0.935, 0.09079, 0.0, 0.11426, 0.07178, 0.50824
0.94, 0.09016, 0.0, 0.12891, 0.08545, 0.50824
0.941, 0.09016, 0.0, 0.13477, 0.07422, 0.50824
