Time, Position, Velocity, Iq, Uq, Vsupply, Error Position
0.012, 0.01665, 0.0, -0.08789, -0.01758, 0.50751, -0.01539
0.032, 0.02136, 0.0, -0.11035, -0.0332, 0.50732, -0.01885
0.033, 0.02168, 0.0, -0.1123, -0.03271, 0.50726, -0.01791
0.044, 0.02325, 0.0, -0.10645, -0.03564, 0.50751, -0.01822
0.045, 0.02356, 0.0, -0.11133, -0.02979, 0.50763, -0.01728
0.056, 0.02482, 0.0, -0.10742, -0.02734, 0.50726, -0.01728
0.06, 0.02513, 0.0, -0.09766, -0.01807, 0.50751, -0.01634
0.065, 0.02545, 0.0, -0.09375, -0.021, 0.50751, -0.01539
0.068, 0.02576, 0.0, -0.08301, -0.02148, 0.50739, -0.01445
0.074, 0.02608, 0.0, -0.08105, -0.01758, 0.50726, -0.01351
0.081, 0.02639, 0.0, -0.07617, -0.01807, 0.50757, -0.01257
0.089, 0.0267, 0.0, -0.07129, -0.01318, 0.50726, -0.01162
0.095, 0.02702, 0.0, -0.06152, -0.00537, 0.50739, -0.01068
0.103, 0.02733, 0.0, -0.05957, -0.01074, 0.50745, -0.00974
0.108, 0.02765, 0.0, -0.05176, -0.00049, 0.50732, -0.0088
0.112, 0.02796, 0.0, -0.04785, 0.0, 0.50726, -0.00785
0.116, 0.02827, 0.0, -0.04395, 0.00732, 0.50745, -0.00691
0.121, 0.02859, 0.0, -0.03027, 0.0, 0.50751, -0.00597
0.127, 0.0289, 0.0, -0.0293, 0.01123, 0.50739, -0.00503
0.131, 0.02922, 0.0, -0.02441, 0.01025, 0.50751, -0.00408
0.138, 0.02953, 0.0, -0.01758, 0.01025, 0.50739, -0.00314
0.145, 0.02984, 0.0, -0.0166, 0.02148, 0.50757, -0.0022
0.151, 0.03016, 0.0, -0.00684, 0.021, 0.50739, -0.00126
0.156, 0.03047, 0.0, -0.00781, 0.02588, 0.50714, -0.00031
0.161, 0.03079, 0.0, 0.00293, 0.02295, 0.50714, 0.00063
0.165, 0.0311, 0.0, 0.00586, 0.03125, 0.50726, 0.00157
0.166, 0.03142, 0.0, 0.00977, 0.01953, 0.50732, 0.00251
0.169, 0.03173, 0.0, 0.02051, 0.0293, 0.50751, 0.00346
0.176, 0.03267, 0.0, 0.01758, 0.03809, 0.50739, 0.00377
0.183, 0.0333, 0.0, 0.0293, 0.03906, 0.50739, 0.0044
0.186, 0.03362, 0.0, 0.03125, 0.03613, 0.50751, 0.00534
0.189, 0.03393, 0.0, 0.03516, 0.04248, 0.50763, 0.00628
0.192, 0.03424, 0.0, 0.04004, 0.04395, 0.50757, 0.00723
0.195, 0.03456, 0.0, 0.04102, 0.05176, 0.50745, 0.00817
0.198, 0.03487, 0.0, 0.04785, 0.05615, 0.5072, 0.00911
0.203, 0.0355, 0.0, 0.05371, 0.05371, 0.5072, 0.00974
0.207, 0.03581, 0.0, 0.0625, 0.05078, 0.50726, 0.01068
0.213, 0.03644, 0.0, 0.06543, 0.0542, 0.50757, 0.01131
0.218, 0.03676, 0.0, 0.07617, 0.04834, 0.50751, 0.01225
0.222, 0.03707, 0.0, 0.08105, 0.04932, 0.50732, 0.01319
0.228, 0.03738, 0.0, 0.07715, 0.0625, 0.5072, 0.01414
0.231, 0.0377, 0.0, 0.09277, 0.05615, 0.50726, 0.01508
0.238, 0.03801, 0.0, 0.0957, 0.05811, 0.50757, 0.01602
0.246, 0.03833, 0.0, 0.1084, 0.05811, 0.50739, 0.01696
0.306, 0.03801, 0.0, 0.11523, 0.06348, 0.50732, 0.01854
0.429, 0.0377, 0.0, 0.12402, 0.06934, 0.50665, 0.02011
0.463, 0.03738, 0.0, 0.13379, 0.08203, 0.50702, 0.02168
0.488, 0.03707, 0.0, 0.14258, 0.08496, 0.50745, 0.02325
0.502, 0.03676, 0.0, 0.14941, 0.0874, 0.5072, 0.02482
0.513, 0.03801, 0.0, 0.15137, 0.08398, 0.50739, 0.02482
0.518, 0.03738, 0.0, 0.16504, 0.10107, 0.50763, 0.0267
0.527, 0.03864, 0.0, 0.16406, 0.09375, 0.50763, 0.0267
0.534, 0.03801, 0.0, 0.17383, 0.10547, 0.50751, 0.02859
0.541, 0.03896, 0.0, 0.18164, 0.10254, 0.50726, 0.0289
0.637, 0.03927, 0.0, 0.18555, 0.10986, 0.50732, 0.02985
0.66, 0.03958, 0.0, 0.19238, 0.11475, 0.50757, 0.03079
0.667, 0.0399, 0.0, 0.2041, 0.11475, 0.50726, 0.03173
0.671, 0.04021, 0.0, 0.20215, 0.12207, 0.50714, 0.03267
0.676, 0.04053, 0.0, 0.21387, 0.12549, 0.50732, 0.03362
0.679, 0.04084, 0.0, 0.21484, 0.13135, 0.50745, 0.03456
0.689, 0.04178, 0.0, 0.21875, 0.12598, 0.50732, 0.03487
0.753, 0.0421, 0.0, 0.23145, 0.12842, 0.50665, 0.03581
0.764, 0.04241, 0.0, 0.23145, 0.13477, 0.50708, 0.03676
0.771, 0.04273, 0.0, 0.24316, 0.13428, 0.50714, 0.0377
0.775, 0.04304, 0.0, 0.24121, 0.15039, 0.50732, 0.03864
0.783, 0.04367, 0.0, 0.24707, 0.14697, 0.50757, 0.03927
0.786, 0.04398, 0.0, 0.25488, 0.14697, 0.50763, 0.04021
0.792, 0.0443, 0.0, 0.26074, 0.14746, 0.50751, 0.04116
0.8, 0.04492, 0.0, 0.26074, 0.15332, 0.50726, 0.04178
0.803, 0.04524, 0.0, 0.27051, 0.1582, 0.5072, 0.04273
0.811, 0.04555, 0.0, 0.27539, 0.15918, 0.50726, 0.04367
0.815, 0.04587, 0.0, 0.28125, 0.16504, 0.50739, 0.04461
0.825, 0.04712, 0.0, 0.28223, 0.15967, 0.50745, 0.04461
0.882, 0.04744, 0.0, 0.28906, 0.16211, 0.5072, 0.04555
0.892, 0.04775, 0.0, 0.29688, 0.1665, 0.50763, 0.0465
0.897, 0.04807, 0.0, 0.30762, 0.1665, 0.50739, 0.04744
0.9, 0.04838, 0.0, 0.30762, 0.17969, 0.50732, 0.04838
0.91, 0.04964, 0.0, 0.30957, 0.16553, 0.50708, 0.04838
0.927, 0.04995, 0.0, 0.31934, 0.16943, 0.50665, 0.04932
0.934, 0.05027, 0.0, 0.31836, 0.18896, 0.50702, 0.05027
0.94, 0.05089, 0.0, 0.33105, 0.17432, 0.50684, 0.05089
0.945, 0.05152, 0.0, 0.33398, 0.1792, 0.50677, 0.05152
0.951, 0.05184, 0.0, 0.33691, 0.18311, 0.50659, 0.05246
0.954, 0.05215, 0.0, 0.34473, 0.18604, 0.50684, 0.05341
0.966, 0.05341, 0.0, 0.34082, 0.18994, 0.50739, 0.05341
0.975, 0.05372, 0.0, 0.34668, 0.19775, 0.50769, 0.05435
0.978, 0.05404, 0.0, 0.35449, 0.19727, 0.50751, 0.05529
0.99, 0.05561, 0.0, 0.35156, 0.19189, 0.5072, 0.05498
1.003, 0.05592, 0.0, 0.35547, 0.20508, 0.50671, 0.05592
1.008, 0.05623, 0.0, 0.36328, 0.20459, 0.50665, 0.05686
1.021, 0.05781, 0.0, 0.36133, 0.20068, 0.50708, 0.05655
1.03, 0.05812, 0.0, 0.36328, 0.20654, 0.50732, 0.05749
1.032, 0.05843, 0.0, 0.375, 0.20557, 0.50751, 0.05843
1.051, 0.0622, 0.0, 0.3584, 0.19873, 0.50732, 0.05592
1.063, 0.06252, 0.0, 0.36621, 0.19775, 0.50751, 0.05686
1.066, 0.06315, 0.0, 0.37988, 0.18994, 0.50732, 0.05749
1.272, 0.11592, 0.0, 0.0791, 0.08252, 0.5069, 0.00597
1.281, 0.13069, 0.0, -0.03027, -0.05176, 0.50659, -0.00754
1.366, 0.12629, 0.0, 0.0127, -0.01416, 0.50751, -0.00188
1.467, 0.12378, 0.0, 0.04492, 0.02441, 0.5072, 0.00189
1.475, 0.12535, 0.0, 0.04102, 0.00098, 0.50751, 0.00157
1.482, 0.12378, 0.0, 0.05469, 0.03906, 0.50751, 0.0044
1.505, 0.12598, 0.0, 0.04883, 0.01709, 0.50696, 0.00346
1.506, 0.12566, 0.0, 0.04785, 0.01562, 0.50696, 0.00503
1.512, 0.12504, 0.0, 0.06934, 0.05176, 0.50677, 0.00691
1.519, 0.12661, 0.0, 0.06934, 0.02588, 0.50665, 0.0066
1.521, 0.12629, 0.0, 0.06836, 0.03809, 0.50665, 0.00817
1.526, 0.12566, 0.0, 0.09082, 0.04883, 0.50696, 0.01005
1.534, 0.12755, 0.0, 0.08887, 0.0332, 0.5069, 0.00942
1.535, 0.12723, 0.0, 0.08691, 0.03857, 0.50684, 0.011
1.54, 0.12661, 0.0, 0.10156, 0.06592, 0.50671, 0.01288
1.55, 0.12818, 0.0, 0.10254, 0.0459, 0.5069, 0.01257
1.555, 0.12755, 0.0, 0.10938, 0.06982, 0.50708, 0.01445
1.563, 0.1288, 0.0, 0.11621, 0.05664, 0.50714, 0.01445
1.566, 0.12849, 0.0, 0.12793, 0.05469, 0.50726, 0.01602
1.576, 0.12912, 0.0, 0.12109, 0.07568, 0.50775, 0.01665
1.736, 0.12943, 0.0, 0.13379, 0.08105, 0.50708, 0.01759
1.746, 0.12975, 0.0, 0.14258, 0.08057, 0.5069, 0.01854
1.757, 0.13006, 0.0, 0.15527, 0.07617, 0.50665, 0.01948
1.768, 0.13038, 0.0, 0.1543, 0.08154, 0.50702, 0.02042
1.777, 0.13069, 0.0, 0.15918, 0.09326, 0.50757, 0.02136
1.781, 0.131, 0.0, 0.16895, 0.09912, 0.50763, 0.02231
1.787, 0.13163, 0.0, 0.16797, 0.1001, 0.50739, 0.02293
1.795, 0.13195, 0.0, 0.18164, 0.08887, 0.50714, 0.02388
1.805, 0.13258, 0.0, 0.18359, 0.09717, 0.50665, 0.0245
