Time, Position, Velocity, Iq, Uq, Vsupply, Error Position
0.009, 0.01822, 0.0, -0.10254, -0.03027, 0.51483, -0.01696
0.01, 0.01791, 0.0, -0.09863, -0.03174, 0.51477, -0.01791
0.027, 0.02042, 0.0, -0.12988, -0.04639, 0.51483, -0.02168
0.028, 0.02073, 0.0, -0.12793, -0.04688, 0.51483, -0.02325
0.035, 0.02105, 0.0, -0.15039, -0.04688, 0.51477, -0.02482
0.049, 0.02262, 0.0, -0.16602, -0.06982, 0.51471, -0.02765
0.05, 0.02293, 0.0, -0.16797, -0.06299, 0.51477, -0.02922
0.068, 0.02325, 0.0, -0.18457, -0.08545, 0.51477, -0.03079
0.071, 0.02356, 0.0, -0.19434, -0.09277, 0.51471, -0.03236
0.079, 0.02388, 0.0, -0.19922, -0.09668, 0.51465, -0.03393
0.082, 0.02419, 0.0, -0.21387, -0.09229, 0.51459, -0.0355
0.086, 0.0245, 0.0, -0.22168, -0.09912, 0.51465, -0.03707
0.098, 0.02482, 0.0, -0.23438, -0.11133, 0.51465, -0.03864
0.099, 0.02513, 0.0, -0.23242, -0.10938, 0.51465, -0.04021
0.12, 0.02545, 0.0, -0.25586, -0.11426, 0.51465, -0.04178
0.131, 0.02576, 0.0, -0.26074, -0.12646, 0.51465, -0.04335
0.14, 0.02608, 0.0, -0.27441, -0.12402, 0.51471, -0.04492
0.149, 0.02639, 0.0, -0.2832, -0.12988, 0.51459, -0.0465
0.161, 0.0267, 0.0, -0.29297, -0.1416, 0.51465, -0.04807
0.18, 0.02702, 0.0, -0.30566, -0.15088, 0.51465, -0.04964
0.186, 0.02733, 0.0, -0.31738, -0.14502, 0.51465, -0.05121
0.204, 0.02765, 0.0, -0.3252, -0.16162, 0.51459, -0.05278
0.23, 0.02733, 0.0, -0.33691, -0.16016, 0.51465, -0.05372
0.234, 0.02702, 0.0, -0.33203, -0.17334, 0.51459, -0.05466
0.237, 0.0267, 0.0, -0.34277, -0.17676, 0.51465, -0.05561
0.244, 0.02608, 0.0, -0.34473, -0.17822, 0.51459, -0.05623
0.245, 0.02576, 0.0, -0.34961, -0.16211, 0.51465, -0.05718
0.248, 0.02545, 0.0, -0.35742, -0.18213, 0.51465, -0.05812
0.258, 0.02388, 0.0, -0.35938, -0.17725, 0.51465, -0.05781
0.435, -0.05529, 0.0, 0.12305, 0.10986, 0.51459, 0.02011
0.529, -0.04524, 0.0, 0.03516, 0.01904, 0.51447, 0.0088
0.537, -0.04995, 0.0, 0.07227, 0.05908, 0.51453, 0.01225
0.622, -0.04681, 0.0, 0.03516, 0.03369, 0.51447, 0.00785
0.63, -0.04901, 0.0, 0.04297, 0.05176, 0.5144, 0.0088
0.636, -0.04744, 0.0, 0.02344, 0.02979, 0.5144, 0.00597
0.637, -0.04775, 0.0, 0.02148, 0.03076, 0.5144, 0.00503
0.652, -0.04807, 0.0, 0.01074, 0.021, 0.5144, 0.00408
0.653, -0.04838, 0.0, 0.01172, 0.01807, 0.5144, 0.00314
0.66, -0.05027, 0.0, 0.00781, 0.04346, 0.5144, 0.00377
0.661, -0.04995, 0.0, 0.01074, 0.03955, 0.5144, 0.0022
0.666, -0.04901, 0.0, -0.01562, 0.02246, 0.51447, -0.0
0.674, -0.05089, 0.0, -0.00586, 0.02441, 0.51447, 0.00063
0.68, -0.04995, 0.0, -0.01465, 0.00586, 0.51453, -0.00157
0.689, -0.05121, 0.0, -0.01953, 0.01367, 0.51447, -0.00157
0.695, -0.05058, 0.0, -0.03516, 0.00879, 0.51453, -0.00346
0.703, -0.05184, 0.0, -0.02832, 0.01221, 0.51447, -0.00346
0.704, -0.05152, 0.0, -0.03223, 0.01758, 0.51453, -0.00503
0.708, -0.05121, 0.0, -0.04883, -0.00732, 0.51453, -0.0066
0.717, -0.05278, 0.0, -0.04395, 0.00391, 0.51447, -0.00628
0.718, -0.05246, 0.0, -0.04785, 0.00586, 0.51453, -0.00785
0.722, -0.05215, 0.0, -0.06738, -0.01123, 0.51453, -0.00943
0.724, -0.05246, 0.0, -0.0752, -0.01709, 0.51447, -0.01037
0.732, -0.05404, 0.0, -0.07422, -0.00586, 0.51447, -0.01005
0.733, -0.05372, 0.0, -0.07129, -0.00586, 0.51459, -0.01162
0.737, -0.05341, 0.0, -0.08887, -0.03125, 0.51453, -0.01319
0.746, -0.05498, 0.0, -0.08789, -0.01025, 0.51453, -0.01288
0.752, -0.05435, 0.0, -0.10156, -0.02881, 0.51447, -0.01477
0.759, -0.05529, 0.0, -0.10254, -0.02588, 0.51453, -0.01508
0.838, -0.05561, 0.0, -0.10547, -0.03809, 0.51459, -0.01602
0.977, -0.05592, 0.0, -0.12012, -0.03662, 0.51453, -0.01696
0.991, -0.05623, 0.0, -0.12109, -0.04736, 0.51453, -0.01791
1.024, -0.05655, 0.0, -0.13086, -0.05078, 0.51465, -0.01885
1.035, -0.05686, 0.0, -0.13379, -0.04932, 0.51459, -0.01979
1.044, -0.05718, 0.0, -0.1416, -0.05518, 0.51459, -0.02073
1.05, -0.05749, 0.0, -0.15039, -0.06055, 0.51453, -0.02168
1.056, -0.05781, 0.0, -0.1543, -0.06592, 0.51453, -0.02262
1.061, -0.05812, 0.0, -0.15625, -0.07373, 0.51459, -0.02356
1.065, -0.05843, 0.0, -0.16602, -0.07275, 0.51459, -0.0245
1.071, -0.05906, 0.0, -0.16992, -0.06934, 0.51459, -0.02513
1.094, -0.05938, 0.0, -0.17773, -0.07227, 0.51459, -0.02608
1.105, -0.05969, 0.0, -0.18457, -0.07129, 0.51453, -0.02702
1.109, -0.06, 0.0, -0.19043, -0.08203, 0.51447, -0.02796
1.112, -0.06032, 0.0, -0.19531, -0.08252, 0.51447, -0.0289
1.119, -0.06095, 0.0, -0.19824, -0.08447, 0.51434, -0.02953
1.122, -0.06126, 0.0, -0.20215, -0.09766, 0.5144, -0.03047
1.129, -0.06157, 0.0, -0.21094, -0.09961, 0.51434, -0.03142
1.135, -0.0622, 0.0, -0.21289, -0.10352, 0.51422, -0.03204
1.141, -0.06252, 0.0, -0.21973, -0.10059, 0.51422, -0.03299
1.146, -0.06283, 0.0, -0.21973, -0.11475, 0.51422, -0.03393
1.149, -0.06315, 0.0, -0.22461, -0.11963, 0.51422, -0.03487
1.158, -0.06409, 0.0, -0.2334, -0.11279, 0.5141, -0.03519
1.168, -0.0644, 0.0, -0.24512, -0.11035, 0.5141, -0.03613
1.176, -0.06472, 0.0, -0.24219, -0.12061, 0.51404, -0.03707
1.181, -0.06503, 0.0, -0.24609, -0.12451, 0.51404, -0.03801
1.185, -0.06534, 0.0, -0.25684, -0.12646, 0.51404, -0.03896
1.194, -0.06629, 0.0, -0.25488, -0.12451, 0.51398, -0.03927
1.202, -0.0666, 0.0, -0.2666, -0.13379, 0.51398, -0.04021
1.211, -0.06692, 0.0, -0.27246, -0.1377, 0.51398, -0.04115
1.216, -0.06723, 0.0, -0.27637, -0.1416, 0.51398, -0.0421
1.225, -0.06817, 0.0, -0.27832, -0.13623, 0.51404, -0.04241
1.248, -0.06849, 0.0, -0.28027, -0.14795, 0.51398, -0.04335
1.257, -0.0688, 0.0, -0.28125, -0.15088, 0.51398, -0.0443
1.258, -0.06911, 0.0, -0.2959, -0.14014, 0.51392, -0.04524
1.269, -0.07006, 0.0, -0.29785, -0.15039, 0.51398, -0.04555
1.283, -0.07037, 0.0, -0.30273, -0.15527, 0.51398, -0.0465
1.293, -0.07069, 0.0, -0.30664, -0.15869, 0.51404, -0.04744
1.297, -0.071, 0.0, -0.31445, -0.1626, 0.51404, -0.04838
1.309, -0.07226, 0.0, -0.31543, -0.15918, 0.51404, -0.04838
1.319, -0.07257, 0.0, -0.32324, -0.16406, 0.51404, -0.04932
1.325, -0.07288, 0.0, -0.3291, -0.15869, 0.51404, -0.05027
1.333, -0.0732, 0.0, -0.33105, -0.17334, 0.51404, -0.05121
1.344, -0.07446, 0.0, -0.33594, -0.16357, 0.51398, -0.05121
1.354, -0.07477, 0.0, -0.33984, -0.1792, 0.51398, -0.05215
1.36, -0.0754, 0.0, -0.34473, -0.17725, 0.51398, -0.05278
1.369, -0.07634, 0.0, -0.33887, -0.18701, 0.51398, -0.05309
1.372, -0.07665, 0.0, -0.36035, -0.16553, 0.51404, -0.05404
1.385, -0.07791, 0.0, -0.35254, -0.18018, 0.51404, -0.05404
1.393, -0.07823, 0.0, -0.36523, -0.18164, 0.51404, -0.05498
1.407, -0.08011, 0.0, -0.36035, -0.1792, 0.5141, -0.05435
1.411, -0.08042, 0.0, -0.35938, -0.19385, 0.5141, -0.05529
1.43, -0.08419, 0.0, -0.34961, -0.18164, 0.5141, -0.05278
1.434, -0.08451, 0.0, -0.35645, -0.18848, 0.5141, -0.05372
1.575, -0.12975, 0.0, -0.10547, -0.10449, 0.51416, -0.00974
1.689, -0.14326, 0.0, -0.01367, 0.02148, 0.51416, 0.00251
1.768, -0.142, 0.0, -0.03516, 0.00488, 0.51416, -0.0
1.783, -0.14231, 0.0, -0.03711, -0.00537, 0.51422, -0.00094
1.79, -0.14043, 0.0, -0.06445, -0.03809, 0.51416, -0.00408
1.806, -0.14074, 0.0, -0.06836, -0.04297, 0.51422, -0.00503
1.814, -0.14294, 0.0, -0.06055, -0.01074, 0.51416, -0.00408
1.821, -0.14106, 0.0, -0.08008, -0.0459, 0.51422, -0.00723
1.829, -0.14357, 0.0, -0.06543, -0.03125, 0.51422, -0.00597
1.83, -0.14326, 0.0, -0.07129, -0.02441, 0.51422, -0.00754
1.836, -0.142, 0.0, -0.09277, -0.06396, 0.51422, -0.01005
1.844, -0.1442, 0.0, -0.08887, -0.03613, 0.51422, -0.00911
1.845, -0.14388, 0.0, -0.09082, -0.03369, 0.51422, -0.01068
1.85, -0.14294, 0.0, -0.1123, -0.06445, 0.51422, -0.01288
1.851, -0.14326, 0.0, -0.1084, -0.06934, 0.51422, -0.01382
1.859, -0.14546, 0.0, -0.11035, -0.04834, 0.51422, -0.01288
1.86, -0.14514, 0.0, -0.11816, -0.04199, 0.51422, -0.01445
1.865, -0.1442, 0.0, -0.13574, -0.08105, 0.51422, -0.01665
1.866, -0.14451, 0.0, -0.13379, -0.0835, 0.51422, -0.01759
1.882, -0.14546, 0.0, -0.14355, -0.08643, 0.51428, -0.01791
1.889, -0.14703, 0.0, -0.13184, -0.08301, 0.51428, -0.01759
1.896, -0.14608, 0.0, -0.15039, -0.08838, 0.51434, -0.01979
1.904, -0.14734, 0.0, -0.15234, -0.08301, 0.51428, -0.01979
1.906, -0.14703, 0.0, -0.16309, -0.08057, 0.5144, -0.02136
1.917, -0.14765, 0.0, -0.16406, -0.08887, 0.51434, -0.02199
