Time, Position, Velocity, Iq, Uq, Vsupply
3.001, 22.78314, -149.10293, -0.11328, -2.83203, 0.47931
3.002, 22.6157, -148.94953, -0.11621, -2.79541, 0.47931
3.003, 22.47401, -148.8984, -0.09375, -2.83154, 0.47931
3.004, 22.32541, -148.84727, -0.05859, -2.87646, 0.47937
3.005, 22.17682, -148.64274, -0.0791, -2.82568, 0.47937
3.006, 22.02822, -148.59161, -0.08398, -2.80908, 0.47937
3.007, 21.87617, -148.59161, -0.04883, -2.83398, 0.47943
3.008, 21.73165, -148.48934, -0.07031, -2.80371, 0.47943
3.009, 21.58368, -148.08028, -0.09863, -2.74072, 0.47943
3.01, 21.43949, -147.97801, -0.0498, -2.80127, 0.47955
3.011, 21.28837, -147.87575, -0.0332, -2.81201, 0.47955
3.012, 21.12281, -147.46669, -0.03906, -2.78662, 0.47961
3.013, 20.98333, -147.31329, -0.05371, -2.75342, 0.47955
3.014, 20.81808, -146.95536, -0.02441, -2.76709, 0.47955
3.015, 20.65032, -146.59743, -0.02246, -2.76367, 0.47961
3.016, 20.52277, -146.2395, -0.04785, -2.69189, 0.47968
3.017, 20.38799, -145.83044, -0.01562, -2.73047, 0.47961
3.018, 20.26139, -145.52364, -0.02539, -2.70312, 0.47961
3.019, 20.11342, -145.06345, -0.01562, -2.69824, 0.47968
3.02, 19.95885, -144.34759, 0.00098, -2.70459, 0.47968
3.021, 19.82973, -143.98966, -0.02832, -2.61963, 0.47968
3.022, 19.69087, -143.5806, 0.01562, -2.69873, 0.47974
3.023, 19.5451, -142.81361, 0.01562, -2.66406, 0.47974
3.024, 19.40687, -142.35342, -0.00391, -2.6084, 0.47974
3.025, 19.23817, -141.53529, 0.00586, -2.60303, 0.47974
3.026, 19.12225, -140.97283, 0.00098, -2.57422, 0.4798
3.027, 18.98622, -140.46151, 0.02148, -2.59619, 0.4798
3.028, 18.85081, -139.74565, 0.02832, -2.56104, 0.47992
3.029, 18.70913, -139.18319, 0.02344, -2.53613, 0.4798
3.03, 18.57184, -138.36507, 0.05664, -2.56494, 0.47986
3.0312, 18.41162, -137.34241, 0.05371, -2.52002, 0.47986
3.032, 18.24229, -136.31976, 0.05762, -2.49219, 0.47986
3.033, 18.15809, -135.80843, 0.06152, -2.49072, 0.47986
3.034, 18.0274, -134.99031, 0.05859, -2.47119, 0.47992
3.035, 17.89074, -134.27445, 0.07031, -2.44629, 0.47992
3.036, 17.68622, -132.89387, 0.08984, -2.44043, 0.47998
3.037, 17.61742, -132.43367, 0.09961, -2.44482, 0.47992
3.038, 17.48045, -131.46215, 0.05664, -2.35596, 0.47998
3.039, 17.35416, -130.54177, 0.10254, -2.37744, 0.47998
3.04, 17.24514, -129.87704, 0.08496, -2.3374, 0.47998
3.041, 17.1176, -128.75212, 0.08984, -2.31152, 0.47998
3.042, 16.99382, -127.83173, 0.11035, -2.31982, 0.47992
3.043, 16.86847, -127.06474, 0.07422, -2.23389, 0.47998
3.044, 16.74406, -125.93982, 0.11816, -2.25293, 0.47998
3.045, 16.6206, -124.76377, 0.10059, -2.21436, 0.47992
3.046, 16.49211, -123.79225, 0.12891, -2.22363, 0.47992
3.047, 16.37398, -122.56506, 0.1084, -2.16699, 0.47998
3.0481, 16.18549, -120.72429, 0.11328, -2.11523, 0.47992
3.049, 16.11449, -120.05956, 0.13477, -2.14014, 0.47992
3.05, 16.00861, -119.08804, 0.1084, -2.07568, 0.47986
3.051, 15.8952, -117.80972, 0.13867, -2.07275, 0.47992
3.052, 15.75163, -116.32688, 0.11719, -2.01465, 0.47986
3.053, 15.66649, -115.45762, 0.1416, -2.0, 0.47974
3.054, 15.55654, -114.23044, 0.14648, -1.98242, 0.4798
3.055, 15.44847, -112.84985, 0.16895, -1.98535, 0.47974
3.056, 15.34103, -111.77607, 0.16602, -1.95264, 0.4798
3.057, 15.20845, -109.93529, 0.13965, -1.85645, 0.47974
3.058, 15.12268, -108.96377, 0.15332, -1.84521, 0.47974
3.059, 15.01964, -107.53205, 0.1875, -1.87549, 0.47968
3.06, 14.91534, -106.04921, 0.20312, -1.86328, 0.47968
3.061, 14.8101, -104.77089, 0.17969, -1.80176, 0.47955
3.062, 14.71145, -103.23691, 0.16699, -1.74609, 0.47955
3.063, 14.60903, -101.80519, 0.1748, -1.70117, 0.47949
3.064, 14.48368, -99.81102, 0.21777, -1.74121, 0.47943
3.065, 14.37561, -97.97024, 0.19922, -1.67236, 0.47943
3.066, 14.30461, -96.79419, 0.21582, -1.66357, 0.47943
3.067, 14.21791, -95.36247, 0.23535, -1.64648, 0.47943
3.068, 14.12146, -93.77736, 0.21875, -1.58057, 0.47937
3.069, 14.03161, -92.29451, 0.22754, -1.56299, 0.47937
3.07, 13.94961, -90.7094, 0.22559, -1.53955, 0.47931
3.071, 13.86479, -89.07315, 0.23828, -1.50732, 0.47925
3.072, 13.77714, -87.5903, 0.23828, -1.47314, 0.47931
3.073, 13.69577, -85.69839, 0.24902, -1.43311, 0.47925
3.074, 13.61598, -84.21555, 0.24512, -1.38135, 0.47925
3.075, 13.53744, -82.68156, 0.25781, -1.34766, 0.47919
3.076, 13.4589, -80.89192, 0.25293, -1.33105, 0.47919
3.077, 13.38256, -78.84661, 0.23438, -1.25928, 0.47919
3.078, 13.30779, -77.1081, 0.24707, -1.23926, 0.47919
3.079, 13.2349, -75.26732, 0.24707, -1.2041, 0.47925
3.08, 13.16327, -73.63108, 0.26074, -1.17627, 0.47925
3.081, 13.08034, -71.43237, 0.26953, -1.13281, 0.47925
3.082, 13.01656, -69.5916, 0.27734, -1.0874, 0.47925
3.083, 12.95624, -67.80195, 0.26562, -1.06104, 0.47925
3.084, 12.88336, -65.44985, 0.26074, -1.01904, 0.47931
3.085, 12.82053, -63.71134, 0.2832, -0.99316, 0.47931
3.086, 12.77434, -62.48415, 0.27832, -0.95361, 0.47937
3.087, 12.71403, -60.13205, 0.27637, -0.91309, 0.47937
3.088, 12.66093, -58.29127, 0.2998, -0.88086, 0.47937
3.089, 12.6069, -56.34823, 0.28516, -0.82666, 0.47937
3.09, 12.556, -54.55858, 0.29102, -0.7915, 0.47937
3.091, 12.50605, -52.66667, 0.29004, -0.72021, 0.47943
3.092, 12.45799, -50.77476, 0.29785, -0.72607, 0.47943
3.093, 12.41337, -48.93399, 0.30176, -0.6958, 0.47949
3.094, 12.36845, -46.53075, 0.29297, -0.64453, 0.47949
3.095, 12.32698, -44.48544, 0.3125, -0.59375, 0.47949
3.096, 12.28646, -42.08221, 0.31348, -0.56689, 0.47949
3.097, 12.24844, -39.8835, 0.31348, -0.52051, 0.47955
3.098, 12.21011, -37.5314, 0.31934, -0.50049, 0.47961
3.099, 12.17807, -36.04855, 0.30762, -0.42383, 0.47961
3.1, 12.14445, -34.00324, 0.3252, -0.38574, 0.47961
3.101, 12.11304, -31.85567, 0.32422, -0.36279, 0.47961
3.102, 12.08696, -30.11716, 0.32031, -0.30029, 0.47955
3.103, 12.06623, -28.12298, 0.33398, -0.28076, 0.47961
3.104, 12.04204, -25.25955, 0.33496, -0.24463, 0.47968
3.105, 12.02256, -23.57217, 0.32227, -0.17236, 0.47968
3.106, 12.0034, -20.91327, 0.33496, -0.10938, 0.47961
3.107, 12.0034, -20.91327, 0.33496, -0.10938, 0.47961
3.108, 11.97732, -15.90227, 0.35547, -0.06006, 0.47968
3.109, 11.96538, -13.80583, 0.35059, -0.03271, 0.47974
3.11, 11.95502, -12.27185, 0.34766, -0.00049, 0.47974
3.111, 11.95502, -12.27185, 0.34766, -0.00049, 0.47974
3.112, 11.94182, -8.53916, 0.34473, 0.09375, 0.47986
3.113, 11.93962, -6.03366, 0.3457, 0.16309, 0.4798
3.114, 11.93994, -2.71003, 0.35156, 0.22363, 0.47986
3.115, 11.94465, 0.46019, 0.35352, 0.27686, 0.47992
3.116, 11.94936, 2.3521, 0.35059, 0.32324, 0.47986
3.117, 11.95816, 5.42007, 0.36133, 0.36182, 0.47986
3.118, 11.96821, 7.61877, 0.36426, 0.40283, 0.47998
3.119, 11.97795, 8.99935, 0.37402, 0.41455, 0.47992
3.12, 11.98863, 10.02201, 0.37305, 0.43066, 0.47992
3.121, 12.00026, 10.789, 0.375, 0.43555, 0.48004
3.122, 12.01345, 11.70939, 0.36328, 0.48242, 0.47998
3.123, 12.03293, 13.6013, 0.36914, 0.53906, 0.47998
3.124, 12.04895, 15.39094, 0.37695, 0.56152, 0.48004
3.125, 12.06717, 17.43625, 0.37793, 0.5835, 0.48004
3.126, 12.08791, 19.17476, 0.37598, 0.59814, 0.4801
3.127, 12.11115, 20.50421, 0.37012, 0.64893, 0.48004
3.128, 12.13566, 22.14046, 0.375, 0.69141, 0.48004
3.129, 12.16268, 24.2369, 0.38672, 0.70703, 0.48004
3.13, 12.18969, 25.82201, 0.37695, 0.74756, 0.48004
3.131, 12.22268, 27.15146, 0.38574, 0.77295, 0.4801
3.132, 12.25253, 28.68544, 0.39648, 0.75879, 0.4801
3.133, 12.28049, 29.96376, 0.37891, 0.78711, 0.4801
3.134, 12.31536, 31.08868, 0.38184, 0.84033, 0.4801
3.135, 12.3496, 32.57153, 0.38965, 0.8501, 0.4801
3.136, 12.38856, 34.10551, 0.38281, 0.90723, 0.4801
3.137, 12.42563, 35.84402, 0.39551, 0.90283, 0.48016
3.138, 12.46395, 37.378, 0.37305, 0.96387, 0.4801
3.139, 12.50322, 38.75858, 0.38379, 1.00439, 0.48004
3.14, 12.54375, 40.49709, 0.38574, 1.0293, 0.48004
3.141, 12.5893, 42.08221, 0.39746, 1.04688, 0.48004
3.142, 12.63486, 43.76959, 0.38184, 1.08105, 0.48004
3.143, 12.68072, 45.15017, 0.39355, 1.11182, 0.47998
3.144, 12.72942, 46.63302, 0.38672, 1.14941, 0.47992
3.145, 12.78063, 48.06473, 0.40332, 1.13477, 0.47998
3.146, 12.82964, 49.44531, 0.37793, 1.20117, 0.47998
3.147, 12.90064, 51.79742, 0.37793, 1.2373, 0.47992
3.148, 12.96315, 53.68933, 0.39844, 1.22998, 0.47986
3.149, 12.99865, 54.55858, 0.37988, 1.28418, 0.47986
3.15, 13.05646, 55.93917, 0.38574, 1.31641, 0.47986
3.151, 13.11458, 57.42201, 0.40332, 1.32666, 0.47986
3.152, 13.19155, 59.62072, 0.39453, 1.3833, 0.4798
3.153, 13.23867, 60.74564, 0.37793, 1.41553, 0.4798
3.154, 13.31596, 62.58642, 0.40234, 1.396, 0.4798
3.155, 13.3703, 63.76247, 0.39453, 1.44238, 0.47974
3.156, 13.43408, 65.14305, 0.36816, 1.50684, 0.4798
3.157, 13.50445, 66.6259, 0.37891, 1.49561, 0.47974
3.158, 13.57859, 68.46668, 0.38477, 1.53809, 0.47968
3.159, 13.64519, 69.89839, 0.40332, 1.54297, 0.47974
3.16, 13.71871, 71.4835, 0.38965, 1.59619, 0.47968
3.161, 13.79725, 73.11975, 0.3877, 1.63477, 0.47968
3.162, 13.8717, 74.39807, 0.3623, 1.66357, 0.47961
3.163, 13.94773, 75.67639, 0.36328, 1.68555, 0.47961
3.164, 14.03695, 77.61943, 0.35938, 1.71045, 0.47955
3.165, 14.12209, 79.05114, 0.35645, 1.76367, 0.47949
3.166, 14.19623, 80.32946, 0.37695, 1.74658, 0.47955
3.167, 14.28231, 82.1191, 0.38281, 1.77295, 0.47955
3.168, 14.37216, 83.60195, 0.38672, 1.77002, 0.47949
3.169, 14.45415, 85.03367, 0.38184, 1.80566, 0.47949
3.17, 14.53364, 86.05632, 0.39258, 1.81689, 0.47949
3.171, 14.62506, 87.38577, 0.37891, 1.86914, 0.47949
3.172, 14.72999, 89.32881, 0.36133, 1.91357, 0.47943
3.173, 14.81072, 90.45373, 0.36816, 1.93701, 0.47943
3.174, 14.90183, 91.68092, 0.36719, 1.93799, 0.47937
3.175, 14.99671, 93.01037, 0.34082, 2.00098, 0.47937
3.176, 15.09064, 94.39095, 0.33789, 2.02783, 0.47937
3.177, 15.18803, 95.7204, 0.33496, 2.08496, 0.47937
3.178, 15.2873, 97.04985, 0.34082, 2.09961, 0.47931
3.179, 15.39003, 98.58383, 0.38477, 2.05615, 0.47931
3.18, 15.49151, 100.01555, 0.38281, 2.06006, 0.47937
3.181, 15.65141, 101.85632, 0.3584, 2.14307, 0.47931
3.182, 15.70137, 102.46992, 0.32129, 2.18945, 0.47931
3.183, 15.80441, 103.8505, 0.31152, 2.23975, 0.47931
3.184, 15.91625, 105.23108, 0.38086, 2.17236, 0.47925
3.185, 16.05165, 106.8162, 0.31738, 2.24707, 0.47919
3.186, 16.13365, 107.73658, 0.33496, 2.22803, 0.47931
3.187, 16.24989, 108.91264, 0.32617, 2.30615, 0.47925
3.188, 16.35608, 110.08869, 0.34961, 2.28711, 0.47925
3.189, 16.46069, 111.36701, 0.37402, 2.24707, 0.47919
3.19, 16.57756, 112.49192, 0.30664, 2.35742, 0.47919
3.191, 16.69003, 113.66798, 0.30664, 2.38232, 0.47919
3.192, 16.80626, 114.89516, 0.3623, 2.3208, 0.47919
3.193, 16.92376, 116.12235, 0.31348, 2.41064, 0.47919
3.194, 17.04251, 116.9916, 0.31738, 2.41504, 0.47919
3.195, 17.16252, 118.32105, 0.35156, 2.36963, 0.47913
3.196, 17.28316, 119.34371, 0.28516, 2.49951, 0.47919
3.197, 17.42641, 120.67316, 0.33691, 2.44189, 0.47913
3.198, 17.58067, 122.20714, 0.32129, 2.47705, 0.47913
3.199, 17.65512, 122.7696, 0.29883, 2.52393, 0.47906
3.2, 17.7833, 123.63885, 0.31348, 2.50195, 0.47906
3.201, 17.91273, 124.76377, 0.27246, 2.58838, 0.47906
3.202, 18.04971, 125.93982, 0.31445, 2.5166, 0.47913
3.203, 18.1716, 127.01361, 0.27148, 2.604, 0.47913
3.204, 18.30072, 127.98513, 0.29883, 2.58496, 0.47913
3.205, 18.4245, 128.90552, 0.25684, 2.64697, 0.47906
3.206, 18.55236, 129.82591, 0.32324, 2.57373, 0.47906
3.207, 18.68117, 130.7463, 0.24512, 2.68066, 0.479
3.208, 18.81406, 131.87122, 0.2959, 2.63037, 0.47906
3.209, 18.95166, 132.68934, 0.24219, 2.71094, 0.479
3.21, 19.08298, 133.55859, 0.31445, 2.62109, 0.47894
3.211, 19.22215, 134.53012, 0.25, 2.71338, 0.479
3.212, 19.35504, 135.39937, 0.26855, 2.70166, 0.479
3.213, 19.49233, 136.11523, 0.25293, 2.74512, 0.47894
3.214, 19.65129, 137.13788, 0.23438, 2.75195, 0.47894
3.215, 19.80083, 138.00714, 0.2627, 2.72363, 0.47888
3.216, 19.91267, 138.62073, 0.22461, 2.80029, 0.47894
3.217, 20.07069, 139.64338, 0.22852, 2.80469, 0.47888
3.218, 20.20861, 140.30811, 0.26074, 2.74756, 0.47894
3.219, 20.34684, 141.02397, 0.21094, 2.82373, 0.47888
3.22, 20.48256, 141.73982, 0.2666, 2.76025, 0.47888
3.221, 20.62236, 142.45568, 0.22559, 2.83301, 0.47882
3.222, 20.78792, 143.37607, 0.19824, 2.86865, 0.47882
3.223, 20.91452, 143.78513, 0.23145, 2.8252, 0.47888
3.224, 21.05652, 144.34759, 0.18848, 2.88818, 0.47882
3.225, 21.19852, 144.96118, 0.22949, 2.82178, 0.47882
3.226, 21.34461, 145.52364, 0.2334, 2.83252, 0.47876
3.227, 21.49509, 145.98384, 0.19629, 2.90088, 0.47876
3.228, 21.63866, 146.5463, 0.20312, 2.87695, 0.4787
3.229, 21.78632, 147.10876, 0.21191, 2.8584, 0.4787
3.23, 21.93805, 147.56895, 0.18359, 2.89746, 0.4787
3.231, 22.12749, 148.13141, 0.18555, 2.91748, 0.4787
3.232, 22.25033, 148.33594, 0.19727, 2.875, 0.4787
3.233, 22.3851, 148.79614, 0.18848, 2.89307, 0.4787
3.234, 22.54595, 149.25633, 0.16895, 2.93457, 0.4787
3.235, 22.71466, 149.51199, 0.16113, 2.94629, 0.47864
3.236, 22.8576, 149.92106, 0.1582, 2.91943, 0.47864
3.237, 22.98546, 150.12559, 0.1543, 2.92969, 0.47864
3.238, 23.14411, 150.58578, 0.13379, 2.95654, 0.47864
3.239, 23.3103, 150.79031, 0.14746, 2.92285, 0.47864
3.24, 23.43911, 151.04597, 0.16797, 2.89844, 0.47858
3.241, 23.58708, 151.50617, 0.13086, 2.96484, 0.47858
3.242, 23.74259, 151.65957, 0.13184, 2.94385, 0.47864
3.243, 23.89464, 151.7107, 0.14746, 2.90039, 0.47858
3.244, 24.04292, 151.91523, 0.13086, 2.92969, 0.47858
3.245, 24.19906, 151.8641, 0.09766, 2.96924, 0.47858
3.246, 24.34734, 152.17089, 0.13281, 2.90186, 0.47864
3.247, 24.54558, 152.32429, 0.08887, 2.95801, 0.47858
3.2484, 24.75889, 152.32429, 0.13281, 2.9043, 0.47858
3.249, 24.88864, 152.32429, 0.09473, 2.9248, 0.47852
3.25, 24.96844, 152.32429, 0.07227, 2.94727, 0.47864
3.251, 25.12489, 152.32429, 0.09277, 2.9126, 0.47858
3.252, 25.28856, 152.42656, 0.10352, 2.90527, 0.47864
3.253, 25.42208, 152.52882, 0.08398, 2.90381, 0.47864
3.254, 25.57068, 152.37542, 0.0752, 2.89307, 0.47864
3.255, 25.71896, 152.37542, 0.10742, 2.85791, 0.47864
3.256, 25.88264, 152.27316, 0.1084, 2.84229, 0.4787
3.257, 26.02684, 152.11976, 0.04785, 2.91357, 0.4787
3.258, 26.17512, 152.0175, 0.0625, 2.87109, 0.4787
3.259, 26.32655, 151.76183, 0.07129, 2.86572, 0.4787
3.26, 26.47766, 151.50617, 0.05957, 2.85156, 0.47876
3.261, 26.62877, 151.4039, 0.02637, 2.87646, 0.47876
3.262, 26.77956, 151.14824, 0.05957, 2.82422, 0.47876
3.263, 26.93036, 150.89258, 0.07031, 2.79688, 0.47882
3.264, 27.10661, 150.53465, 0.0625, 2.7876, 0.47888
3.265, 27.26368, 150.02332, 0.0332, 2.81592, 0.47882
3.266, 27.39092, 149.81879, 0.03027, 2.80713, 0.47894
3.267, 27.53952, 149.51199, 0.03906, 2.76074, 0.47888
3.268, 27.72487, 148.79614, 0.02734, 2.76123, 0.47894
3.269, 27.83954, 148.43821, 0.00098, 2.77881, 0.479
3.27, 27.97243, 148.23368, 0.03516, 2.72607, 0.47894
3.271, 28.12291, 147.51782, -0.0166, 2.77246, 0.479
3.272, 28.2803, 147.00649, -0.02246, 2.75342, 0.479
3.273, 28.41162, 146.5463, -0.00391, 2.73291, 0.47906
3.274, 28.56022, 145.88157, -0.01855, 2.7085, 0.47906
3.275, 28.70096, 145.26798, -0.00781, 2.65918, 0.47913
3.276, 28.84485, 144.65439, 0.00195, 2.64941, 0.47913
3.277, 28.99156, 143.98966, -0.03906, 2.68506, 0.47919
3.278, 29.13042, 143.37607, -0.01758, 2.61523, 0.47919
3.279, 29.2721, 142.55795, -0.04004, 2.6333, 0.47919
3.28, 29.42353, 141.79096, -0.07227, 2.65527, 0.47919
3.281, 29.62271, 140.51264, -0.02246, 2.54395, 0.47925
3.282, 29.69936, 140.10358, -0.06641, 2.58545, 0.47919
3.283, 29.83791, 139.54112, -0.05664, 2.55176, 0.47931
3.284, 29.98242, 138.77413, -0.0459, 2.52881, 0.47937
3.285, 30.12599, 137.75147, -0.08105, 2.52881, 0.47937
