Time, Position, Velocity, Iq, Uq, Vsupply
-0.0, 341.73083, 50.77476, 0.0625, 1.0, 0.48486
0.001, 341.78201, 50.92816, 0.04395, 1.0, 0.48486
0.002, 341.83386, 50.87703, 0.06641, 1.0, 0.48492
0.003, 341.88348, 50.87703, 0.04004, 1.0, 0.48492
0.004, 341.93344, 50.5191, 0.05664, 1.0, 0.48492
0.005, 341.98404, 50.31457, 0.1123, 1.0, 0.48492
0.006, 342.0343, 50.3657, 0.13672, 1.0, 0.48499
0.007, 342.09146, 50.57023, 0.13965, 1.0, 0.48499
0.008, 342.15524, 50.8259, 0.14453, 1.0, 0.48511
0.009, 342.19073, 50.8259, 0.1416, 1.0, 0.48511
0.01, 342.24258, 50.72363, 0.0752, 1.0, 0.48511
0.011, 342.29095, 50.62137, 0.05176, 1.0, 0.48517
0.012, 342.3428, 50.6725, 0.06445, 1.0, 0.48523
0.013, 342.39023, 50.8259, 0.02734, 1.0, 0.48523
0.014, 342.44458, 50.87703, 0.0459, 1.0, 0.48529
0.015, 342.49799, 50.87703, 0.08887, 1.0, 0.48529
0.016, 342.55453, 50.5191, 0.1377, 1.0, 0.48523
0.0174, 342.62616, 50.5191, 0.13281, 1.0, 0.48529
0.018, 342.67078, 50.31457, 0.13379, 1.0, 0.48529
0.019, 342.70093, 50.41684, 0.15723, 1.0, 0.48535
0.02, 342.75842, 50.6725, 0.07812, 1.0, 0.48529
0.021, 342.81592, 50.8259, 0.03809, 1.0, 0.48535
0.022, 342.85425, 50.97929, 0.05078, 1.0, 0.48529
0.023, 342.9111, 50.77476, 0.04102, 1.0, 0.48529
0.024, 342.94913, 50.77476, 0.0498, 1.0, 0.48529
0.025, 342.99814, 50.62137, 0.07031, 1.0, 0.48529
0.026, 343.04715, 50.3657, 0.14355, 1.0, 0.48523
0.027, 343.10022, 50.3657, 0.125, 1.0, 0.48529
0.028, 343.14987, 50.5191, 0.12598, 1.0, 0.48535
0.029, 343.20203, 50.77476, 0.14648, 1.0, 0.48541
0.03, 343.25259, 50.72363, 0.11621, 1.0, 0.48535
0.031, 343.30191, 50.62137, 0.07324, 1.0, 0.48541
0.032, 343.35126, 50.6725, 0.04688, 1.0, 0.48547
