Time, Position, Velocity, Iq, Uq, Vsupply
-0.0, 621.24683, 50.6725, 0.14355, 1.0, 0.49261
0.001, 621.30432, 50.6725, 0.08105, 1.0, 0.49255
0.002, 621.35553, 51.03043, 0.05762, 1.0, 0.49261
0.003, 621.39917, 51.13269, 0.06738, 1.0, 0.49261
0.004, 621.45105, 51.18383, 0.07129, 1.0, 0.49255
0.005, 621.50067, 50.97929, 0.0625, 1.0, 0.49268
0.006, 621.55096, 50.6725, 0.0752, 1.0, 0.49268
0.007, 621.6015, 50.57023, 0.13379, 1.0, 0.49261
0.008, 621.6521, 50.3657, 0.10352, 1.0, 0.49261
0.009, 621.70453, 50.72363, 0.11133, 1.0, 0.49261
0.01, 621.75421, 50.8259, 0.12109, 1.0, 0.49261
0.011, 621.80511, 50.87703, 0.1123, 1.0, 0.49261
0.0125, 621.87482, 50.87703, 0.06641, 1.0, 0.49261
0.013, 621.9433, 50.87703, 0.08398, 1.0, 0.49255
0.014, 621.96368, 50.87703, 0.0791, 1.0, 0.49261
0.015, 622.02655, 50.87703, 0.05859, 1.0, 0.49255
0.016, 622.06329, 50.87703, 0.0625, 1.0, 0.49261
0.017, 622.11639, 50.8259, 0.11816, 1.0, 0.49255
0.018, 622.1654, 50.62137, 0.11816, 1.0, 0.49261
0.019, 622.21063, 50.3657, 0.125, 1.0, 0.49261
0.02, 622.26306, 50.46797, 0.09961, 1.0, 0.49255
0.021, 622.31244, 50.77476, 0.12988, 1.0, 0.49261
0.022, 622.36365, 50.8259, 0.07324, 1.0, 0.49255
0.023, 622.41486, 51.08156, 0.05957, 1.0, 0.49261
0.024, 622.4657, 51.13269, 0.08203, 1.0, 0.49261
0.025, 622.5166, 50.97929, 0.04492, 1.0, 0.49261
0.026, 622.5672, 50.87703, 0.06055, 1.0, 0.49261
0.027, 622.61743, 50.46797, 0.08301, 1.0, 0.49255
0.028, 622.66772, 50.31457, 0.125, 1.0, 0.49255
0.029, 622.73242, 50.5191, 0.12598, 1.0, 0.49261
