Time, Position, Velocity, Iq, Uq, Vsupply
-0.0, 341.67554, 50.5191, 0.09961, 1.0, 0.49225
0.001, 341.72675, 50.72363, 0.05078, 1.0, 0.49219
0.002, 341.7767, 51.03043, 0.02832, 1.0, 0.49225
0.003, 341.82852, 51.03043, 0.07422, 1.0, 0.49225
0.004, 341.88162, 50.77476, 0.0498, 1.0, 0.49225
0.005, 341.93158, 50.5191, 0.07617, 1.0, 0.49225
0.006, 341.9834, 50.31457, 0.12891, 1.0, 0.49225
0.007, 342.03369, 50.26344, 0.13965, 1.0, 0.49225
0.008, 342.08047, 50.3657, 0.12793, 1.0, 0.49225
0.009, 342.13013, 50.57023, 0.11133, 1.0, 0.49231
0.01, 342.18195, 50.6725, 0.13672, 1.0, 0.49225
0.011, 342.23285, 50.6725, 0.06836, 1.0, 0.49225
0.012, 342.2847, 50.72363, 0.04297, 1.0, 0.49225
0.013, 342.33432, 50.72363, 0.06152, 1.0, 0.49219
0.014, 342.38522, 50.72363, 0.03809, 1.0, 0.49219
0.015, 342.43454, 50.72363, 0.07031, 1.0, 0.49213
0.016, 342.48669, 50.8259, 0.10059, 1.0, 0.49219
0.017, 342.53665, 50.62137, 0.16113, 1.0, 0.49225
0.018, 342.58847, 50.3657, 0.13867, 1.0, 0.49225
0.019, 342.66043, 50.26344, 0.11523, 1.0, 0.49225
0.0203, 342.73016, 50.5191, 0.09473, 1.0, 0.49225
0.0211, 342.77982, 50.77476, 0.05469, 1.0, 0.49219
0.022, 342.80148, 50.8259, 0.04297, 1.0, 0.49225
0.023, 342.85519, 51.03043, 0.06348, 1.0, 0.49219
0.024, 342.90829, 50.77476, 0.04785, 1.0, 0.49219
0.0254, 342.97397, 50.8259, 0.07617, 1.0, 0.49219
0.026, 343.0217, 50.41684, 0.10938, 1.0, 0.49219
0.027, 343.04431, 50.46797, 0.15137, 1.0, 0.49219
0.028, 343.09616, 50.41684, 0.12109, 1.0, 0.49219
0.029, 343.14832, 50.5191, 0.11816, 1.0, 0.49225
0.03, 343.19669, 50.77476, 0.11914, 1.0, 0.49225
0.031, 343.24884, 50.72363, 0.10938, 1.0, 0.49219
0.032, 343.30319, 50.72363, 0.05859, 1.0, 0.49225
0.033, 343.34781, 50.72363, 0.03027, 1.0, 0.49225
0.034, 343.39963, 50.72363, 0.06348, 1.0, 0.49219
0.035, 343.44958, 50.92816, 0.04004, 1.0, 0.49225
0.036, 343.50018, 50.87703, 0.06348, 1.0, 0.49225
0.037, 343.55075, 50.77476, 0.11523, 1.0, 0.49219
0.038, 343.6048, 50.46797, 0.13281, 1.0, 0.49219
0.039, 343.65381, 50.2123, 0.14258, 1.0, 0.49225
0.04, 343.70312, 50.3657, 0.11035, 1.0, 0.49219
0.041, 343.75653, 50.5191, 0.13379, 1.0, 0.49225
0.042, 343.80395, 50.72363, 0.06445, 1.0, 0.49219
0.043, 343.85611, 50.92816, 0.04004, 1.0, 0.49219
0.044, 343.90701, 50.97929, 0.06543, 1.0, 0.49225
0.045, 343.95663, 50.92816, 0.04688, 1.0, 0.49219
0.046, 344.0069, 50.6725, 0.06836, 1.0, 0.49225
0.047, 344.0575, 50.57023, 0.10156, 1.0, 0.49219
0.048, 344.10651, 50.46797, 0.15332, 1.0, 0.49219
0.049, 344.15991, 50.41684, 0.13477, 1.0, 0.49225
0.05, 344.20953, 50.62137, 0.1084, 1.0, 0.49225
0.051, 344.26138, 50.92816, 0.14258, 1.0, 0.49225
0.052, 344.33017, 50.77476, 0.05859, 1.0, 0.49225
0.0534, 344.40244, 50.77476, 0.03809, 1.0, 0.49219
0.0541, 344.45584, 50.6725, 0.06543, 1.0, 0.49219
0.055, 344.47501, 50.72363, 0.04883, 1.0, 0.49225
0.056, 344.5325, 51.03043, 0.07617, 1.0, 0.49219
0.057, 344.57928, 50.77476, 0.09375, 1.0, 0.49225
0.0584, 344.64432, 50.62137, 0.14648, 1.0, 0.49219
0.059, 344.69742, 50.3657, 0.13086, 1.0, 0.49225
0.06, 344.71783, 50.31457, 0.12402, 1.0, 0.49219
0.061, 344.77469, 50.5191, 0.12305, 1.0, 0.49225
0.062, 344.82056, 50.77476, 0.09375, 1.0, 0.49219
0.063, 344.8743, 50.97929, 0.0498, 1.0, 0.49219
0.064, 344.9296, 50.97929, 0.03711, 1.0, 0.49219
0.065, 344.97638, 51.03043, 0.08105, 1.0, 0.49225
0.066, 345.02982, 50.87703, 0.06445, 1.0, 0.49225
0.067, 345.07504, 50.6725, 0.07617, 1.0, 0.49219
0.068, 345.12436, 50.57023, 0.13086, 1.0, 0.49225
0.069, 345.17212, 50.46797, 0.13184, 1.0, 0.49225
0.07, 345.22458, 50.5191, 0.12891, 1.0, 0.49219
0.071, 345.27798, 50.87703, 0.11133, 1.0, 0.49219
0.072, 345.32764, 50.97929, 0.14062, 1.0, 0.49219
0.073, 345.37726, 50.92816, 0.07129, 1.0, 0.49219
0.074, 345.42816, 50.87703, 0.03223, 1.0, 0.49225
0.075, 345.47778, 50.87703, 0.0625, 1.0, 0.49219
0.076, 345.53058, 50.97929, 0.04004, 1.0, 0.49219
0.077, 345.57989, 51.13269, 0.07812, 1.0, 0.49219
0.078, 345.63235, 51.08156, 0.10156, 1.0, 0.49225
0.079, 345.68262, 50.72363, 0.15332, 1.0, 0.49219
0.08, 345.73193, 50.46797, 0.12305, 1.0, 0.49225
0.081, 345.78378, 50.5191, 0.10645, 1.0, 0.49219
0.082, 345.83343, 50.62137, 0.14258, 1.0, 0.49219
0.083, 345.88495, 50.87703, 0.06543, 1.0, 0.49225
0.084, 345.93741, 51.08156, 0.04004, 1.0, 0.49219
0.085, 345.98862, 51.28609, 0.03906, 1.0, 0.49225
0.0863, 346.07123, 50.8259, 0.05469, 1.0, 0.49225
0.0872, 346.12402, 50.8259, 0.0791, 1.0, 0.49219
0.088, 346.16202, 50.6725, 0.1084, 1.0, 0.49219
0.089, 346.21231, 50.41684, 0.13965, 1.0, 0.49219
0.0903, 346.27325, 50.46797, 0.13672, 1.0, 0.49225
0.091, 346.31784, 50.72363, 0.10547, 1.0, 0.49219
0.0921, 346.37378, 50.8259, 0.13867, 1.0, 0.49219
0.093, 346.42215, 50.6725, 0.05957, 1.0, 0.49219
0.094, 346.45264, 50.87703, 0.05273, 1.0, 0.49219
0.095, 346.49976, 50.8259, 0.04297, 1.0, 0.49219
0.096, 346.55157, 50.77476, 0.06738, 1.0, 0.49225
0.097, 346.59903, 50.8259, 0.04492, 1.0, 0.49219
0.098, 346.65338, 50.87703, 0.06934, 1.0, 0.49225
0.099, 346.7002, 50.77476, 0.13574, 1.0, 0.49219
0.1, 346.75171, 50.5191, 0.13184, 1.0, 0.49219
0.101, 346.80072, 50.31457, 0.1377, 1.0, 0.49219
0.102, 346.85034, 50.3657, 0.1123, 1.0, 0.49225
0.103, 346.90219, 50.5191, 0.12793, 1.0, 0.49225
0.104, 346.95465, 50.77476, 0.0459, 1.0, 0.49219
0.105, 347.00681, 50.92816, 0.03223, 1.0, 0.49219
0.106, 347.06146, 51.03043, 0.07129, 1.0, 0.49219
0.107, 347.10608, 50.92816, 0.05371, 1.0, 0.49225
0.108, 347.15479, 50.6725, 0.0752, 1.0, 0.49219
0.109, 347.2038, 50.46797, 0.10547, 1.0, 0.49225
0.11, 347.25531, 50.2123, 0.15723, 1.0, 0.49219
0.111, 347.30841, 50.2123, 0.13184, 1.0, 0.49219
0.112, 347.35803, 50.46797, 0.10156, 1.0, 0.49219
0.113, 347.40735, 50.62137, 0.14746, 1.0, 0.49219
0.114, 347.45825, 50.77476, 0.07324, 1.0, 0.49219
0.115, 347.50977, 50.62137, 0.05078, 1.0, 0.49219
0.116, 347.56067, 50.57023, 0.05469, 1.0, 0.49219
0.117, 347.61252, 50.6725, 0.05176, 1.0, 0.49219
0.118, 347.65964, 50.6725, 0.06543, 1.0, 0.49219
0.119, 347.72812, 50.6725, 0.0957, 1.0, 0.49219
0.1204, 347.80194, 50.46797, 0.13672, 1.0, 0.49219
0.1211, 347.85474, 50.16117, 0.13379, 1.0, 0.49219
0.122, 347.87765, 50.16117, 0.11133, 1.0, 0.49213
0.123, 347.92822, 50.57023, 0.15332, 1.0, 0.49219
0.1242, 347.98825, 50.62137, 0.06348, 1.0, 0.49213
0.1255, 348.05484, 51.03043, 0.03125, 1.0, 0.49213
0.126, 348.10669, 51.08156, 0.07324, 1.0, 0.49219
0.127, 348.11957, 51.03043, 0.06738, 1.0, 0.49219
0.128, 348.17139, 50.77476, 0.05078, 1.0, 0.49219
