Time, Position, Velocity, Iq, Uq, Vsupply
0.0, 0.0, 0.0, 0.00195, -0.00146, 0.48828
0.11, 0.00031, 0.0, 0.01465, 0.00146, 0.49042
0.211, 0.00031, 0.0, 0.01758, 0.01855, 0.48999
0.373, 0.00063, 0.0, 0.0293, 0.01221, 0.49115
0.573, 0.00094, 0.0, 0.03613, 0.01318, 0.49182
0.674, 0.00094, 0.0, 0.03809, 0.02734, 0.49176
0.783, 0.00126, 0.0, 0.04199, 0.03418, 0.492
0.892, 0.00157, 0.0, 0.0498, 0.03271, 0.49225
1.024, 0.00188, 0.0, 0.06055, 0.03516, 0.49231
1.194, 0.0022, 0.0, 0.06641, 0.03369, 0.49231
1.295, 0.0022, 0.0, 0.07812, 0.03564, 0.49225
1.402, 0.00251, 0.0, 0.08594, 0.0332, 0.49219
1.514, 0.00314, 0.0, 0.08301, 0.04492, 0.49219
1.625, 0.00346, 0.0, 0.09082, 0.04639, 0.49213
1.725, 0.00346, 0.0, 0.09473, 0.05615, 0.49188
1.851, 0.00408, 0.0, 0.10547, 0.05273, 0.49182
1.952, 0.00408, 0.0, 0.11328, 0.05176, 0.49207
2.08, 0.00471, 0.0, 0.11816, 0.05664, 0.49213
2.219, 0.00534, 0.0, 0.12402, 0.06445, 0.49207
2.32, 0.00534, 0.0, 0.12988, 0.06787, 0.49207
2.482, 0.00597, 0.0, 0.13574, 0.06836, 0.492
2.592, 0.00628, 0.0, 0.14355, 0.06885, 0.492
2.7, 0.0066, 0.0, 0.14941, 0.08057, 0.49194
2.812, 0.00723, 0.0, 0.15723, 0.07861, 0.49176
2.923, 0.00754, 0.0, 0.16309, 0.08105, 0.49182
3.053, 0.00785, 0.0, 0.1709, 0.08398, 0.49182
3.162, 0.00817, 0.0, 0.17969, 0.08594, 0.49158
3.383, 0.00911, 0.0, 0.18457, 0.09131, 0.49152
3.493, 0.00942, 0.0, 0.19238, 0.09131, 0.49146
3.608, 0.01005, 0.0, 0.19141, 0.10547, 0.49146
3.739, 0.01037, 0.0, 0.20215, 0.09717, 0.49152
3.849, 0.01068, 0.0, 0.21094, 0.10059, 0.49146
3.959, 0.01131, 0.0, 0.21484, 0.10352, 0.49146
4.07, 0.01162, 0.0, 0.21973, 0.11426, 0.49146
4.199, 0.01257, 0.0, 0.22559, 0.11426, 0.49139
4.309, 0.01288, 0.0, 0.23242, 0.11719, 0.49127
4.421, 0.01351, 0.0, 0.23828, 0.11475, 0.49091
4.534, 0.01414, 0.0, 0.23926, 0.12402, 0.49084
4.644, 0.01445, 0.0, 0.25684, 0.11719, 0.49103
4.755, 0.01508, 0.0, 0.25879, 0.12207, 0.49103
4.921, 0.01571, 0.0, 0.25684, 0.13477, 0.49084
5.125, 0.01634, 0.0, 0.27441, 0.12939, 0.49091
5.307, 0.01728, 0.0, 0.27539, 0.1377, 0.49097
5.416, 0.01759, 0.0, 0.28223, 0.13721, 0.49097
5.526, 0.01822, 0.0, 0.28711, 0.15137, 0.49072
5.816, 0.01948, 0.0, 0.29883, 0.13916, 0.4906
5.992, 0.02011, 0.0, 0.2998, 0.15771, 0.49042
6.132, 0.02105, 0.0, 0.30762, 0.15332, 0.49042
6.245, 0.02168, 0.0, 0.31738, 0.15234, 0.49036
6.397, 0.02293, 0.0, 0.31543, 0.16211, 0.49042
6.514, 0.0245, 0.0, 0.31641, 0.16553, 0.49042
6.688, 0.02576, 0.0, 0.32031, 0.16016, 0.49036
7.064, 0.02827, 0.0, 0.32031, 0.16504, 0.49036
